x1,x2,y0,y1,y2,y3
24.961680565994442,34.95952412714347,0,0,1,1
19.025294253226768,39.07508009363156,0,0,1,0
13.925597162803408,35.054280470148704,0,0,1,0
19.993995737746562,32.06899161648772,1,1,1,1
19.019824340870546,28.01043247909367,1,1,1,1
16.95087723706662,24.948318216724054,1,0,0,0
21.93421682223628,30.90263474171551,1,0,1,1
21.015661826368735,23.940029908708798,1,0,0,0
23.040662883935983,40.997612269075574,1,1,1,0
15.962983531708064,39.99789569741818,0,0,1,0
27.92462594001106,33.01576710088933,1,0,0,0
21.03904657890546,33.93645235812972,1,0,1,1
18.04045587441928,27.992019366623968,1,1,0,0
21.983530423129366,21.002131126153934,1,0,0,0
12.905481387614563,35.025383088444435,0,0,1,0
21.054316295843652,37.96915102481226,1,1,0,1
25.967808799301373,42.0317355321045,1,0,1,1
19.014801653852132,31.09252316169219,1,0,1,0
26.983932873498137,35.98994051182526,1,0,1,1
19.997827468274554,22.00832244219741,1,1,1,1
18.043429096886694,20.982099534705448,1,1,1,1
22.909062111543804,24.924947028318925,1,0,1,1
23.99747629636093,40.9554235272664,1,0,0,0
26.090049530034438,15.022407107231336,0,0,0,1
11.019084526723981,28.997331257778576,1,0,1,0
15.016812412317618,24.88109730186246,1,0,1,1
20.95467844703614,26.022995013315388,1,0,0,1
23.032250834465753,26.10272725473104,1,0,1,1
19.032255634383056,38.961725234947885,0,0,1,1
10.99975858138617,34.04340332494256,0,0,1,0
30.05983139344935,32.95459687838354,1,1,1,1
19.06179992413817,32.015570467372534,1,0,1,1
20.12133338793657,18.959149567462894,1,0,0,0
26.08232465377419,33.029274311612305,1,0,0,1
17.022764921920828,23.014042717436276,1,0,1,0
20.034347683388543,35.08614149416845,0,1,1,1
27.050539069200287,24.01935808895582,0,0,0,1
22.058093318043177,36.04102996474988,0,1,0,0
18.005121140535945,29.07309204296968,1,0,1,0
26.01840732775992,32.09874455426787,1,0,0,0
13.03855181083799,24.979344502360163,1,0,0,1
20.01492156180875,29.018967217459032,0,0,1,0
21.09460844151998,23.023324640837476,1,0,0,1
27.043782776592664,24.88986536794323,1,0,1,1
12.991071401605307,28.029847294865444,0,0,1,0
32.05736888408999,25.933227157482005,0,0,0,1
17.006062027233853,36.89908779571002,0,0,1,0
26.97690324053665,24.933580239726844,1,0,0,1
17.071416915313197,23.993242319648378,1,0,1,1
31.01940684616541,23.01623408266144,1,0,0,1
15.945467001281536,25.96287652197882,1,0,1,1
19.895887937818507,31.00352947877087,0,1,1,0
15.986300411755149,19.926134612284134,1,0,0,1
18.94062367120064,24.009016767033195,1,0,1,0
23.055471209459604,19.95585672427262,1,1,0,1
20.959086498054077,40.914187566125776,0,0,1,0
18.026400933984725,32.01569825762496,0,0,1,1
20.987102395337946,37.98502570546042,0,0,1,1
15.99971162269086,43.93350544887797,1,0,1,0
14.99912830515255,27.998011888428593,1,1,1,1
22.009357099338512,34.93424726954812,1,1,1,1
25.998267182429352,29.92866532893511,1,0,1,1
23.074785336059,41.05283049245208,1,0,0,0
20.99856608561626,36.99736939534723,1,1,0,1
20.01523347495609,15.02399011600258,1,0,0,1
29.037903999347005,28.96747897736634,0,1,0,0
13.911252847771063,37.06980457846224,1,0,1,0
25.979591341200553,19.019740563557306,1,0,0,1
22.01261729156707,28.97608336192503,0,0,1,1
27.018943845601008,29.01221208716153,0,0,0,1
22.924644160718277,37.89983154352999,1,0,1,0
21.044859720901652,36.98826003029428,1,0,0,0
18.01377363054839,35.06604550013349,1,1,1,0
18.0311645533126,32.017396723859136,1,1,1,1
16.997282596743297,20.055519548617873,1,0,1,1
15.012021067706405,25.974989257062187,1,1,1,1
18.990058419851056,27.936407240774955,1,0,1,0
13.025263375796639,34.92852508808183,0,0,1,0
14.893645122819207,25.06861937170718,1,0,0,0
14.008861507263406,38.122390137679645,0,0,1,0
31.01914228544326,30.12851609904723,1,0,1,1
14.955027988021545,23.983370166961425,1,0,0,0
26.977934275305216,25.03773218085863,1,1,1,1
13.99530006128856,47.889235994219824,0,0,1,0
11.981170263848826,32.12463694333193,0,0,1,0
19.96573785964105,23.97201498644251,1,0,0,1
25.026159972363487,36.04516885492404,1,0,1,1
26.004608855376343,29.992441580965473,0,1,0,1
24.944670875310607,30.034527865913713,1,0,1,1
14.004446777044464,24.926773381584322,1,1,1,1
11.966942163569318,31.90770605626866,1,0,1,0
22.019955160264914,31.972919984928303,1,1,0,1
21.008555694926564,32.02128572972924,1,1,0,0
20.05169047206995,19.91479501871763,0,0,1,1
13.964045726055577,33.03050652518986,0,0,1,0
17.028247032677342,27.008546918556416,1,0,0,0
19.99681228675047,32.98946405104616,0,0,1,0
16.06925298135243,34.01772394774977,1,0,1,1
15.001451978575265,37.98750638704572,1,0,1,0
24.011106612127474,36.99865220817824,0,0,1,1
16.05395618896621,30.000399465445398,1,0,0,0
18.976073575262113,29.892381708857286,1,1,1,1
11.957926992345268,39.98625729479848,1,0,1,0
20.090563384077956,27.982414041923917,0,0,0,1
16.050160293480886,16.041096860055433,1,1,1,0
12.948817611915006,31.010160346669696,0,0,1,0
17.982123494572274,30.931612305060145,1,0,1,1
20.015408754436255,34.97771602219734,1,0,1,1
14.917709941395549,40.01914475475809,1,0,1,1
33.003643411891424,36.00172037479928,1,0,1,1
14.0361137073589,39.980978361950896,0,0,1,0
11.97302362651148,45.98383587007418,0,0,1,0
18.016982088335666,30.00930264218261,1,1,1,1
23.995056844201887,39.020168812126336,1,1,1,1
21.940806606868,25.974109999865103,1,1,1,1
14.036285399165935,34.039247714434396,1,1,1,1
24.06853722537375,36.002119061434804,1,0,1,0
15.000825258810016,29.07084722078953,0,0,1,0
19.98654870843867,35.0718629540218,0,0,1,0
19.95638074458531,34.01192880550252,1,0,0,0
14.008562041230029,31.928868567562514,0,0,1,0
18.99264632502457,28.004030388781025,0,1,0,1
22.07343818723273,29.00149168935633,0,1,1,1
25.015748364357588,20.056571218525136,1,0,1,1
18.997520484605904,30.067366162080678,1,1,1,0
26.03392014376483,32.032015118383285,1,0,0,1
21.00155674264725,34.95757375123237,1,0,1,1
18.934616655080752,28.03984718450141,0,1,0,0
23.991985352858848,35.07079571372886,1,0,0,0
20.953469822265525,30.986624373904238,1,1,1,1
15.033073919732274,37.95621856337516,1,0,1,1
26.98814880634801,20.03575029054968,1,0,1,0
25.087977363472465,28.95482587313881,1,1,1,1
19.94689768705767,33.93866156327242,1,0,0,0
10.916662103350488,23.044999983221487,1,0,1,1
19.08971158896643,39.925055236019496,0,0,1,0
22.02230689136199,23.057541987457604,1,0,0,1
16.91988626363245,28.998298699865845,1,0,1,0
17.03616315299119,36.96157271051043,1,0,1,1
24.962866057264943,34.940765767816885,1,0,0,0
17.03978605404403,25.044618668725573,1,0,1,0
23.99173660149888,23.971690536257,1,0,0,0
19.0392530459125,28.95189614349642,1,0,1,1
14.003564730674873,37.94141208240583,0,0,1,1
22.02143738937268,30.053873927135985,1,1,1,1
